USB2+H08074_1:101 100 ms high power,c,b,a,USB2+H08074_1:101 75 ms,a,b,c,USB2+H08074_1:101 100 ms high power proof that you see PL,c 100 ms,"b 10,000 us",a 8000 us
189.124,-150.38,-102.4,-121.85,189.124,-157.69,-157.55,-114.25,189.124,-221.91,-105.18,-83.38
189.584,-150.38,-102.4,-121.85,189.584,-157.69,-157.55,-114.25,189.584,-221.91,-105.18,-83.38
190.044,-150.38,-102.4,-121.85,190.044,-157.69,-157.55,-114.25,190.044,-221.91,-105.18,-83.38
190.504,-190.17,-100.06,-182.71,190.504,-277.06,-199.68,-151.7,190.504,-172.76,-144.97,-177
190.964,-108.25,-139.85,-182.71,190.964,-190.46,-171.59,-184.46,190.964,-182.12,-175.39,-191.05
191.424,-166.76,-149.21,-140.58,191.424,-171.74,-253.51,-175.1,191.424,-90.84,-123.9,-127.85
191.884,-108.25,-151.55,-163.98,191.884,-145.99,-134.14,-149.36,191.884,-156.38,-154.33,-92.74
192.343,-159.74,-146.87,-124.19,192.343,-78.12,-89.67,-114.25,192.343,-191.49,-128.58,-165.3
192.803,-112.93,-146.87,-86.75,192.803,-115.56,-115.42,-118.93,192.803,-128.29,-77.09,-144.24
193.263,-162.08,-64.95,-96.11,193.263,-113.22,-82.65,-58.07,193.263,-72.12,-60.71,-71.68
193.722,-131.66,-153.89,-30.57,193.722,-54.71,-63.93,-93.18,193.722,-93.18,-142.63,-38.91
194.182,-112.93,-27.5,-63.34,194.182,-110.88,-113.08,-29.99,194.182,-62.76,-44.32,-17.85
194.642,-54.42,-123.46,-68.02,194.642,-24.28,-33.5,-11.26,194.642,-4.24,-77.09,-17.85
195.101,-14.63,-6.44,-32.91,195.101,-43.01,-24.14,-18.29,195.101,-53.39,-16.24,43.01
195.561,57.93,-22.82,2.19,195.561,-14.92,-24.14,9.8,195.561,-4.24,-25.6,-43.59
196.02,-0.59,-29.84,23.26,196.02,45.93,41.4,0.44,196.02,44.91,30.57,-1.46
196.479,97.72,98.89,44.32,196.479,17.85,60.12,26.18,196.479,68.31,11.85,14.92
196.939,78.99,70.8,53.69,196.939,71.68,50.76,101.08,196.939,82.36,75.04,57.05
197.398,149.21,152.72,119.22,197.398,76.36,125.66,82.36,197.398,115.13,110.15,115.56
197.858,144.53,169.1,137.95,197.858,141.89,118.64,147.89,197.858,133.85,145.26,94.5
198.317,200.7,201.87,149.65,198.317,181.68,90.55,98.74,198.317,129.17,128.88,85.14
198.776,128.14,180.81,135.6,198.776,165.3,193.53,126.83,198.776,192.36,224.84,183.44
199.235,212.4,164.42,201.14,199.235,172.32,97.57,161.94,199.235,96.4,185.05,181.1
199.695,205.38,138.68,166.03,199.695,226.15,71.83,201.72,199.695,133.85,206.11,169.4
200.154,284.96,197.19,163.69,200.154,223.81,195.87,215.77,200.154,213.43,201.43,199.82
200.613,226.45,206.55,231.57,200.613,237.86,207.58,239.17,200.613,271.94,199.09,190.46
201.072,261.55,225.28,177.73,201.072,202.75,221.62,215.77,201.072,206.41,243.56,256
201.531,294.32,190.17,250.29,201.531,240.2,230.98,281.3,201.531,190.02,243.56,239.61
201.99,282.62,246.34,236.25,201.99,268.28,296.52,199.38,201.99,255.56,285.69,204.5
202.449,228.79,293.15,254.97,202.449,354.88,263.75,295.35,202.449,314.07,220.16,251.32
202.908,308.37,258.04,259.65,202.908,272.96,245.02,302.37,202.908,276.62,304.42,202.16
203.367,284.96,314.22,243.27,203.367,324.46,219.28,300.03,203.367,271.94,309.1,312.17
203.826,322.41,286.13,236.25,203.826,308.07,230.98,321.09,203.826,281.3,332.5,272.38
204.285,320.07,318.9,269.02,204.285,294.03,301.2,335.14,204.285,197.04,290.37,272.38
204.744,317.73,251.02,261.99,204.744,305.73,202.9,274.28,204.744,300.03,362.93,328.55
205.202,247.51,346.98,306.46,205.202,343.18,324.6,309.39,205.202,344.5,299.73,312.17
205.661,341.13,361.03,299.44,205.661,308.07,359.71,274.28,205.661,276.62,362.93,351.96
206.12,357.52,288.47,322.85,206.12,289.35,319.92,339.82,206.12,316.41,281.01,246.63
206.579,338.79,325.92,327.53,206.579,258.92,291.84,302.37,206.579,307.05,281.01,305.15
207.037,275.6,311.88,355.62,207.037,298.71,301.2,367.9,207.037,311.73,311.44,239.61
207.496,345.81,295.49,287.74,207.496,315.09,359.71,328.11,207.496,227.47,264.63,305.15
207.955,303.68,309.54,269.02,207.955,254.24,373.75,311.73,207.955,342.16,259.95,270.04
208.413,352.84,363.37,294.76,208.413,240.2,312.9,311.73,208.413,290.67,285.69,298.13
208.872,303.68,283.79,346.25,208.872,303.39,366.73,316.41,208.872,293.01,316.12,298.13
209.33,287.3,262.73,327.53,209.33,294.03,322.26,318.75,209.33,314.07,376.97,220.89
209.789,338.79,321.24,320.51,209.789,277.65,261.41,295.35,209.789,276.62,337.18,295.79
210.247,296.66,318.9,285.4,210.247,352.54,352.69,248.54,210.247,337.48,299.73,307.49
210.705,306.03,232.3,292.42,210.705,294.03,256.73,311.73,210.705,236.83,302.08,305.15
211.164,266.24,311.88,306.46,211.164,291.69,245.02,304.71,211.164,248.54,325.48,342.6
211.622,254.53,279.11,245.61,211.622,315.09,317.58,356.2,211.622,257.9,339.52,291.1
212.08,280.28,215.91,301.78,212.08,315.09,270.77,257.9,212.08,323.43,337.18,295.79
212.539,289.64,269.75,362.64,212.539,298.71,277.79,349.18,212.539,290.67,292.71,256
212.997,299,346.98,273.7,212.997,277.65,221.62,288.32,212.997,274.28,304.42,293.44
213.455,263.9,234.64,266.67,213.455,331.48,294.18,285.98,213.455,246.2,327.82,281.74
213.913,303.68,199.53,276.04,213.913,303.39,312.9,311.73,213.913,332.79,304.42,253.66
214.371,261.55,281.45,257.31,214.371,352.54,282.47,309.39,214.371,316.41,299.73,279.4
214.829,277.94,311.88,247.95,214.829,202.75,298.86,243.85,214.829,250.88,273.99,258.34
215.287,214.74,274.43,243.27,215.287,294.03,308.22,285.98,215.287,278.96,273.99,258.34
215.745,256.87,267.41,261.99,215.745,261.26,291.84,276.62,215.745,281.3,269.31,277.06
216.203,240.49,274.43,271.36,216.203,294.03,195.87,222.79,216.203,274.28,320.8,293.44
216.661,317.73,279.11,292.42,216.661,251.9,226.3,239.17,216.661,295.35,297.39,277.06
217.119,247.51,232.3,182.42,217.119,305.73,261.41,211.09,217.119,264.92,255.26,307.49
217.577,261.55,288.47,280.72,217.577,235.52,198.21,288.32,217.577,290.67,245.9,225.57
218.035,256.87,311.88,280.72,218.035,233.18,287.15,295.35,218.035,262.58,302.08,279.4
218.493,259.21,215.91,276.04,218.493,244.88,270.77,295.35,218.493,232.15,295.05,237.27
218.95,277.94,400.82,287.74,218.95,291.69,270.77,271.94,218.95,229.81,250.58,298.13
219.408,268.58,241.66,184.76,219.408,263.6,242.68,241.51,219.408,262.58,231.86,307.49
219.866,275.6,293.15,194.12,219.866,249.56,280.13,276.62,219.866,241.51,271.65,253.66
