USB2+H08074_1:101,laser on sample,laser off sample,no sample
189.124,-86.45,-142.77,-148.62
189.584,-86.45,-142.77,-148.62
190.044,-86.45,-142.77,-148.62
190.504,-175.39,-189.58,-141.6
190.964,-189.44,-105.32,-104.15
191.424,-100.5,-166.18,-200.12
191.884,-156.67,-107.66,-162.67
192.343,-137.95,-121.71,-174.37
192.803,-60.71,-102.98,-57.34
193.263,-25.6,-58.51,-73.73
193.722,-91.13,-107.66,-59.68
194.182,-53.69,-39.79,-80.75
194.642,-79.43,-49.15,-10.53
195.101,-16.24,4.68,-24.58
195.561,-2.19,-28.09,-10.53
196.02,-16.24,4.68,22.24
196.479,89.09,11.7,40.96
196.939,89.09,84.26,85.43
197.398,117.17,102.98,73.73
197.858,175.69,180.22,97.13
198.317,138.24,65.53,136.92
198.776,30.57,161.5,197.78
199.235,159.3,217.67,167.35
199.695,199.09,224.69,157.99
200.154,222.5,236.39,174.37
200.613,196.75,205.97,179.05
201.072,325.48,287.89,253.95
201.531,220.16,184.9,221.18
201.99,278.67,257.46,291.4
202.449,250.58,278.52,270.33
202.908,222.5,280.86,251.61
203.367,248.24,301.93,251.61
203.826,351.23,409.59,361.61
204.285,320.8,351.08,314.8
204.744,318.46,320.65,270.33
205.202,325.48,306.61,256.29
205.661,372.29,348.74,310.12
206.12,327.82,322.99,258.63
206.579,290.37,330.02,239.9
207.037,316.12,367.46,328.85
207.496,252.92,330.02,300.76
207.955,297.39,330.02,282.03
208.413,362.93,322.99,296.08
208.872,297.39,315.97,293.74
209.33,379.31,339.38,298.42
209.789,316.12,283.2,188.41
210.247,416.76,346.4,328.85
210.705,297.39,283.2,312.46
211.164,369.95,280.86,331.19
211.622,283.35,330.02,305.44
212.08,325.48,297.25,209.48
212.539,351.23,278.52,272.67
212.997,234.2,257.46,216.5
213.455,281.01,315.97,270.33
213.913,304.42,311.29,298.42
214.371,323.14,245.76,317.14
214.829,316.12,283.2,251.61
215.287,278.67,301.93,223.52
215.745,257.61,283.2,230.54
216.203,304.42,273.84,275.01
216.661,316.12,187.24,228.2
217.119,241.22,280.86,286.72
217.577,199.09,285.55,277.35
218.035,332.5,259.8,286.72
218.493,222.5,386.19,282.03
218.95,346.55,369.8,221.18
219.408,295.05,346.4,284.38
219.866,250.58,273.84,221.18
220.324,292.71,234.05,260.97
220.781,185.05,255.12,242.25
221.239,252.92,297.25,242.25
221.696,269.31,292.57,256.29
222.154,334.84,252.78,331.19
222.611,269.31,234.05,251.61
223.069,201.43,332.36,277.35
223.526,243.56,245.76,251.61
223.984,269.31,308.95,314.8
224.441,271.65,290.23,228.2
224.898,297.39,248.1,286.72
225.355,217.82,259.8,225.86
225.813,250.58,297.25,296.08
226.27,234.2,330.02,291.4
226.727,215.48,308.95,235.22
227.184,297.39,287.89,272.67
227.641,302.08,273.84,225.86
228.098,292.71,311.29,263.31
228.555,309.1,320.65,289.06
229.012,264.63,330.02,328.85
229.469,273.99,278.52,289.06
229.926,346.55,297.25,286.72
230.383,297.39,224.69,307.78
230.84,297.39,269.16,277.35
231.297,288.03,243.42,314.8
231.754,278.67,292.57,253.95
232.21,255.26,299.59,286.72
